TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Het Kinsey Rapport over Vrouwelijke en Mannelijke Homosexualiteit.","Bell, A.P.; Weinberg, M.S.","1979"
"Cognitive Dissonance and the Life Satisfaction of Older Adults.","Bell, B.D.","1974"
"The Limitations of Crisis Theory as an Explanatory Mechanism in Social Gerontology.","Bell, B.D.","1975"
"Role Set Orientations and Life Satisfaction: A New Look at an Old Theory.","Bell, B.D.","1976"
"Life Satisfaction and Occupational Retirement: Beyond the Impact Year.","Bell, B.D.","1978"
"Life Satisfaction in Midlife Childless and Empty-Nest Men and Women.","Bell, J.E.; Eisenberg, N.","1985"
"Significant Roles among a Sample of Australian Women.","Bell, R.R.","1975"
"A Comparison of the Self-Concept of Low Income Women with and without Husbands Present.","Bendo, A.A.; Feldman, H.","1974"
"National and Occupational Differences in Patterns of Aging.","Bengtson, V.L.","1967"
"Occupational Differences in Retirement: Patterns of Role Activity and Life Outlook among Chicago Teachers and Steelworkers.","Bengtson, V.L.; Chiriboga, D.A.; Keller, A.B.","1969"
"Happiness in Single- and Dual-Earner Families: The Effects of Marital Happiness, Job Satisfaction, and Life Cycle.","Holland-Benin, M.; Cable-Nienstedt, B.","1985"
"Positive and Negative Affect: A Maximum-Likelihood Approach.","Holland-Benin, M.; Okun, M.A.; Stock, W.A.","1988"
"Avowed Happiness in Communities of Religious Women.","Bennett, F.A.","1970"
"What Makes People Happy?","Benson, B.","1946"
"Intrapersonal Correlates of Nonspontaneous Helping Behavior.","Benson, P.L.; Dehority, J.; Garman, L.; Hanson, E.","1980"
"Survivorship and Social Isolation: The Case of the Aged Widower.","Berardo, F.M.","1970"
"Structural Relationships among Facets of Work, Non-Work, and General Well-Being.","Bergermaier, R.; Borg, I.; Champoux, J.E.","1984"
"Antworttendenzen bei der Beantwortung der Zufriedenheitsfragen.","Berger-Schmitt, R.","1989"
"Problemgruppen.","Berger-Schmitt, R.","1984"
"Lebensqualität in der Bundesrepublik 1978 und 1984.","Neal, J.D.; Mohr, H.M.","1986"
"Ausgewählte Aspekte der Wohlfahrtsentwicklung in der Bundesrepublik Deutschland.","Berger-Schmitt, R.; Mohr, H.M.","1985"
"Gay and Gray, the Older Homosexual Man.","Berger, R.M.","1982"
"The Unseen Minority: Older Gays and Lesbians.","Berger, R.M.","1982"
"The Urban Elderly: A Study in Life Satisfaction.","Berghorn, F.J.; Schafer, D.E.; Steere, G.H.; Wiseman, R.F.","1978"
"Psychological Functioning in 70-and 75-year-old-People: A Study in an Industrialized City.","Berg, S.","1980"
"Life Stress and Psychological Well-Being: A Replication of Langner's Analysis in the Midtown Manhattan Study.","Berkman, P.L.","1971"
"Work Satisfaction and General Adjustment of Migrants.","Berman, G.S.","1981"
"The Volunteer in Parole Program: An Evaluation.","Berman, J.J.","1975"
"An Experiment in Parole Supervision.","Berman, J.J.","1978"
"Parolees' Problems, Aspirations and Attitudes.","Berman, J.J.","1972"
"Comments on Glenn's Paper.","Bernard, J.","1975"
"Livskvaliteten i Sverige.","Bernow, R.","1985"
"Assessing the Relationship between Quality of Life and Marital and Income Satisfaction: A Path-Analytic Approach.","Berry, R.E.; Williams, F.L.","1987"
"The Happy American Body: A Survey Report.","Berscheid, E.; Bohrnstedt, G.; Walster, E.","1973"
"Two Tests of Maslow's Theory of Need Fulfillment.","Betz, E.L.","1984"
"Economie, Eudemonie en de Welzijnsstaat.","DeBeus, J.W.","1987"
"Interrole Conflict among Married Woman: The Influence of Husband and Wife Characteristics on Conflict and Coping Behavior.","Beutell, N.J.; Greenhaus, J.H.","1982"
"The Role of Self-Esteem and Locus of Control in the Differential Prediction of Performance, Program Satisfaction and Life Satisfaction in an Educational Organization.","Bhagat, R.S.; Chassie, M.B.","1978"
"The Prediction of Perceived Well-Being.","Bharadwaj, L.K.; Wilkening, E.A.","1977"
"Emotional Development and Temporal Adjustment Evaluated by the 'Test de ""Age d'Or""' in Children 6-12 Years Old.","Biagiotti, F.F.","1968"
"Die Frage nach dem Glück.","Bien, G.","1978"
"Mood Scales as Predictors of Discharge and Sick Call Visits during Basic Military Training.","Biersner, R.J.; LaRocco, J.M.; Ryman, D.H.","1976"
"Physical, Psychological, Blood Serum and Mood Predictors of Success in Preliminary Underwater Demolition Team Training.","Biersner, R.J.; Rahe, R.H.; Ryman, D.H.","1977"
"The Relevance of American Life Satisfaction Indices for Research on British Subjects Before and After Retirement.","Bigot, A.","1974"
"The Only Child in America: Prejudice versus Performance.","Blake, J.","1981"
"Subjective Well-being among Native and Non-Native Elderly Persons: Do Differences Exist?","Blandford, A.A.; Chappell, N.L.","1990"
